,Goals
Alabama,27
Alaska,26
Arizona,52
Arkansas,45
California,23
Colorado,35
Connecticut,29
Delaware,32
District of Columbia,0
Florida,38
Georgia,44
Hawaii,15
Idaho,33
Illinois,33
Indiana,20
Iowa,16
Kansas,23
Kentucky,18
Louisiana,40
Maine,14
Maryland,37
Massachusetts,38
Michigan,32
Minnesota,41
Mississippi,39
Missouri,21
Montana,21
Nebraska,26
Nevada,34
New Hampshire,46
New Jersey,43
New Mexico,34
New York,44
North Carolina,40
North Dakota,11
Ohio,28
Oklahoma,36
Oregon,48
Pennsylvania,32
Rhode Island,14
South Carolina,52
South Dakota,35
Tennessee,39
Texas,39
Utah,27
Vermont,0
Virginia,72
Washington,20
West Virginia,34
Wisconsin,19
Wyoming,19
